VELOCITY:     AVE_POFV:    PROG_AVE:        ERROR:
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333   0.0017037 0.000297397 9.98093e-05
         0.4   0.0206852    0.001894 0.000336097
    0.666667   0.0278333  0.00351305 0.000328915
    0.933333   0.0714444  0.00667492 0.000758417
         1.2    0.145593   0.0102644  0.00116774
     1.46667    0.146889   0.0121953   0.0017143
     1.73333    0.122667   0.0147267  0.00212746
           2    0.128074   0.0142674  0.00255394
     2.26667    0.120574   0.0396764   0.0244676
     2.53333   0.0615926   0.0318966   0.0177377
         2.8   0.0796481   0.0112671  0.00307353
     3.06667   0.0155556   0.0066317  0.00194121
     3.33333   0.0227222   0.0045986   0.0013765
         3.6   0.0259259  0.00228946 0.000655464
     3.86667  0.00464815  0.00107485 0.000359236
     4.13333  0.00444444 0.000560986 0.000217786
         4.4           0 0.000375962 0.000159207
     4.66667           0 8.25953e-05 6.05436e-05
     4.93333           0  5.1664e-05 4.26909e-05
         5.2           0 1.52979e-05 1.49616e-05
     5.46667           0 6.17284e-06 6.03716e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00818519 0.000299216 9.56672e-05
         0.4   0.0126852  0.00183711 0.000326873
    0.666667   0.0260556  0.00341191 0.000330395
    0.933333      0.0955   0.0065626 0.000735087
         1.2    0.142278   0.0100837  0.00113297
     1.46667    0.123574   0.0119017  0.00166782
     1.73333    0.110667   0.0143052  0.00208015
           2    0.185296   0.0139947  0.00246205
     2.26667   0.0880926   0.0381762    0.023494
     2.53333   0.0656667   0.0306816   0.0170402
         2.8   0.0661111   0.0109124  0.00296586
     3.06667   0.0252963   0.0063993  0.00187419
     3.33333   0.0213704  0.00444409  0.00132779
         3.6   0.0119259  0.00221477 0.000632394
     3.86667  0.00883333   0.0010454 0.000345473
     4.13333  0.00846296 0.000552304 0.000208884
         4.4           0 0.000360297 0.000153342
     4.66667           0 7.91538e-05 5.81186e-05
     4.93333           0 4.95113e-05 4.09664e-05
         5.2           0 1.46605e-05 1.43518e-05
     5.46667           0 5.91564e-06 5.79108e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00287037  0.00029184 9.21244e-05
         0.4  0.00674074  0.00177441 0.000319755
    0.666667    0.044463  0.00334657 0.000323575
