VELOCITY:     AVE_POFV:    PROG_AVE:        ERROR:
         1.2   0.0877685   0.0125124    0.001981
     1.46667    0.158894   0.0143477  0.00234456
     1.73333    0.154111   0.0151075  0.00287549
           2    0.132259   0.0145325  0.00281153
     2.26667     0.11406   0.0378836    0.024412
     2.53333   0.0687731   0.0294386   0.0174354
         2.8   0.0636481   0.0089146  0.00239951
     3.06667   0.0385417  0.00529927  0.00136557
     3.33333   0.0231574  0.00361609  0.00103428
         3.6   0.0131019  0.00207739 0.000549552
     3.86667  0.00241667 0.000899042 0.000252336
     4.13333 0.000796296 0.000467067 0.000142703
         4.4 0.000342593 0.000236433 0.000133924
     4.66667 0.000324074  6.8737e-05 4.02326e-05
     4.93333           0 2.49826e-05 1.82051e-05
         5.2           0 5.73671e-06 5.61062e-06
     5.46667           0 2.31481e-06 2.26393e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00188426 0.000341584 6.75825e-05
         0.4   0.0187824  0.00214245 0.000364934
    0.666667   0.0492083  0.00517632 0.000657255
    0.933333   0.0720046  0.00880729    0.001192
         1.2     0.12137   0.0122017  0.00192266
     1.46667    0.133028   0.0139808   0.0022754
     1.73333    0.155181   0.0147474  0.00277813
           2    0.111907   0.0141212  0.00272429
     2.26667    0.109065   0.0364945   0.0234344
     2.53333   0.0889074   0.0283664   0.0167419
         2.8    0.060463  0.00864813  0.00231428
     3.06667   0.0427407  0.00515267  0.00131651
     3.33333   0.0174352  0.00349569 0.000998165
         3.6  0.00989815  0.00200801 0.000531015
     3.86667      0.0055  0.00087113 0.000243361
     4.13333  0.00228704 0.000451577 0.000137595
         4.4 0.000337963 0.000227168 0.000128664
     4.66667           0  6.5873e-05  3.8658e-05
     4.93333           0 2.39417e-05 1.74763e-05
         5.2           0 5.49769e-06 5.38193e-06
     5.46667           0 2.21836e-06 2.17166e-06
     5.73333           0           0           0
