BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         557    -5.41371    -5.56829  0.00717127
         558    -5.40632      -5.568  0.00716429
         559    -5.45459     -5.5678  0.00715435
         560    -5.45012    -5.56759  0.00714466
         561     -5.4413    -5.56737  0.00713547
         562    -5.40614    -5.56708  0.00712854
         563    -5.49132    -5.56694  0.00711714
         564     -5.4109    -5.56667   0.0071099
         565    -5.41956    -5.56641  0.00710208
         566    -5.45238    -5.56621  0.00709239
         567    -5.47485    -5.56605  0.00708171
         568    -5.53119    -5.56598  0.00706951
         569    -5.45449    -5.56579   0.0070598
         570    -5.46145     -5.5656  0.00704979
         571    -5.46826    -5.56543   0.0070395
         572     -5.5148    -5.56535  0.00702775
         573      -5.509    -5.56525  0.00701618
         574    -5.46757    -5.56508  0.00700602
         575    -5.48591    -5.56494  0.00699518
         576    -5.45707    -5.56475  0.00698555
         577    -5.43405    -5.56453  0.00697711
         578    -5.50897    -5.56443   0.0069657
         579    -5.48576    -5.56429    0.006955
         580    -5.48454    -5.56416  0.00694437
         581     -5.4808    -5.56401  0.00693389
         582    -5.53419    -5.56396  0.00692217
         583    -5.59014    -5.56401  0.00691044
         584    -5.64871    -5.56415  0.00690013
         585    -5.62695    -5.56426  0.00688917
         586    -5.61091    -5.56434  0.00687788
         587    -5.55854    -5.56433  0.00686617
         588    -5.57396    -5.56434  0.00685451
         589     -5.5553    -5.56433  0.00684289
         590    -5.65362    -5.56448  0.00683296
         591    -5.61458    -5.56457  0.00682193
         592    -5.56209    -5.56456   0.0068104
         593     -5.6084    -5.56464  0.00679932
         594    -5.60253     -5.5647  0.00678817
         595    -5.60846    -5.56477  0.00677716
         596    -5.62399    -5.56487  0.00676652
         597    -5.54023    -5.56483  0.00675531
         598    -5.62446    -5.56493  0.00674475
         599    -5.63408    -5.56505  0.00673448
         600    -5.54873    -5.56502  0.00672331
         601     -5.5709    -5.56503  0.00671213
         602    -5.70933    -5.56527  0.00670526
         603    -5.66849    -5.56544  0.00669632
         604      -5.717    -5.56569  0.00668994
         605    -5.65293    -5.56583  0.00668043
         606    -5.52095    -5.56576  0.00666982
         607    -5.47222    -5.56561  0.00666061
         608    -5.49924     -5.5655  0.00665055
         609     -5.5666     -5.5655  0.00663963
         610    -5.54473    -5.56547  0.00662883
         611    -5.59151    -5.56551  0.00661812
         612    -5.60284    -5.56557  0.00660759
         613    -5.64577     -5.5657  0.00659811
         614    -5.61227    -5.56578  0.00658779
         615    -5.48106    -5.56564  0.00657852
         616    -5.60523     -5.5657  0.00656816
         617    -5.54689    -5.56567  0.00655758
         618    -5.57489    -5.56569  0.00654699
         619     -5.5534    -5.56567  0.00653644
         620    -5.45668    -5.56549  0.00652826
         621    -5.55681    -5.56548  0.00651777
         622    -5.62458    -5.56557  0.00650798
         623    -5.57538    -5.56559  0.00649755
         624    -5.54117    -5.56555  0.00648726
         625    -5.54703    -5.56552  0.00647695
         626    -5.59214    -5.56556  0.00646674
         627    -5.57522    -5.56558  0.00645644
         628    -5.60201    -5.56563  0.00644642
         629    -5.56951    -5.56564  0.00643618
         630    -5.45113    -5.56546  0.00642853
         631    -5.50939    -5.56537  0.00641895
         632    -5.45505     -5.5652  0.00641117
         633    -5.54031    -5.56516  0.00640116
         634    -5.57383    -5.56517  0.00639108
         635    -5.56613    -5.56517  0.00638102
         636    -5.52048     -5.5651  0.00637137
         637    -5.55704    -5.56509  0.00636138
         638     -5.5465    -5.56506  0.00635148
         639    -5.60352    -5.56512  0.00634182
         640     -5.6251    -5.56521   0.0063326
         641    -5.50256    -5.56512  0.00632348
         642    -5.49265      -5.565  0.00631464
         643    -5.53444    -5.56496    0.006305
         644    -5.50827    -5.56487  0.00629582
         645     -5.4624    -5.56471  0.00628806
         646     -5.5518    -5.56469  0.00627836
         647    -5.51783    -5.56462  0.00626907
         648    -5.62561    -5.56471  0.00626011
         649    -5.70086    -5.56492  0.00625397
         650     -5.6944    -5.56512  0.00624752
         651    -5.71415    -5.56535  0.00624212
         652    -5.71137    -5.56557  0.00623656
         653    -5.67987    -5.56575  0.00622947
         654    -5.62046    -5.56583  0.00622051
         655    -5.57504    -5.56584  0.00621102
         656    -5.60262     -5.5659  0.00620181
         657     -5.6163    -5.56598  0.00619284
         658    -5.55323    -5.56596  0.00618346
         659    -5.60722    -5.56602   0.0061744
         660    -5.50867    -5.56593  0.00616565
         661    -5.42827    -5.56573  0.00615984
         662    -5.35044     -5.5654  0.00615912
         663    -5.49327    -5.56529  0.00615079
