N  Half_pop_ave        L
1193 85.9504 84.4364
1194 86.0699 84.4364
1195 86.1509 84.4364
1196 86.2296 84.4364
1197 86.7776 84.4364
1198 86.8388 84.4364
1199 87.0184 84.4364
1200 86.392 84.4364
1201 86.5171 84.4364
1202 86.3604 84.4364
1203 86.3991 84.4364
1204 86.8245 84.4364
1205 86.8733 84.4364
1206 87.2472 84.4364
1207 85.9381 84.4364
1208 85.9268 84.4364
1209 85.8676 84.4364
1210 87.5614 84.4364
1211 88.4657 84.4364
1212 88.6087 84.4364
1213 88.0098 84.4364
1214 88.2351 84.4364
1215 88.3277 84.4364
1216 88.3653 84.4364
1217 88.6483 84.4364
1218 88.4854 84.4364
1219 88.2321 84.4364
1220 87.1417 84.3019
1221 87.0472 84.3019
1222 86.5944 84.3019
1223 86.0759 84.3019
1224 86.2568 84.3019
1225 86.2767 84.2964
1226 86.3678 84.2964
1227 86.9277 84.2964
1228 88.0954 84.2964
1229 86.12 84.2964
1230 86.3541 84.2964
1231 88.8515 84.2964
1232 88.8225 84.2964
1233 91.088 84.2964
1234 91.1062 84.2964
1235 90.1262 84.2964
1236 90.3412 84.2964
1237 90.4254 84.2964
1238 90.1422 84.2964
1239 90.1559 84.2964
1240 90.4522 84.2964
1241 90.658 84.2964
1242 91.0744 84.2964
1243 89.4804 84.2964
1244 89.8441 84.2964
1245 89.1978 84.2964
1246 89.4765 84.2964
1247 89.5371 84.2964
1248 89.6964 84.2964
1249 90.0541 84.2964
1250 90.3138 84.2964
1251 87.4874 84.2964
1252 87.6704 84.2964
1253 87.7215 84.2964
1254 88.2026 84.2964
1255 88.2835 84.2964
1256 89.6014 84.2964
1257 89.7249 84.2964
1258 89.538 84.2964
