BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         526     1.02999     1.22918   0.0112019
         527     1.02825      1.2288   0.0111871
         528     1.02656     1.22842   0.0111725
         529     1.02495     1.22803    0.011158
         530     1.02338     1.22765   0.0111436
         531     1.02188     1.22726   0.0111294
         532     1.02044     1.22687   0.0111152
         533     1.01905     1.22648   0.0111012
         534     1.01773     1.22609   0.0110873
         535     1.01647      1.2257   0.0110735
         536     1.01528     1.22531   0.0110598
         537     1.01418     1.22491   0.0110462
         538     1.01317     1.22452   0.0110327
         539     1.01227     1.22413   0.0110192
         540     1.01148     1.22373   0.0110059
         541     1.01082     1.22334   0.0109925
         542     1.01031     1.22295   0.0109793
         543     1.00995     1.22255   0.0109661
         544     1.00976     1.22216   0.0109529
         545     1.00975     1.22177   0.0109397
         546     1.00992     1.22138   0.0109266
         547      1.0103       1.221   0.0109134
         548     1.01088     1.22062   0.0109002
         549     1.01167     1.22023    0.010887
         550     1.01267     1.21986   0.0108738
         551     1.01389     1.21948   0.0108604
         552     1.01532     1.21911   0.0108471
         553     1.01696     1.21875   0.0108336
         554     1.01882     1.21839   0.0108201
         555     1.02088     1.21803   0.0108064
         556     1.02313     1.21768   0.0107927
         557     1.02557     1.21734   0.0107788
         558     1.02819       1.217   0.0107648
         559     1.03098     1.21666   0.0107507
         560     1.03392     1.21634   0.0107364
         561       1.037     1.21602   0.0107221
         562     1.04022     1.21571   0.0107075
         563     1.04355      1.2154   0.0106929
         564       1.047      1.2151   0.0106781
         565     1.05053     1.21481   0.0106632
         566     1.05414     1.21453   0.0106481
         567     1.05782     1.21425   0.0106329
         568     1.06155     1.21398   0.0106176
         569     1.06533     1.21372   0.0106022
         570     1.06913     1.21347   0.0105866
         571     1.07296     1.21322   0.0105709
         572      1.0768     1.21298   0.0105551
         573     1.08064     1.21275   0.0105392
         574     1.08447     1.21253   0.0105232
         575      1.0883     1.21231   0.0105071
         576     1.09211      1.2121    0.010491
         577      1.0959      1.2119   0.0104747
         578     1.09967     1.21171   0.0104584
         579      1.1034     1.21152    0.010442
         580     1.10712     1.21134   0.0104256
         581      1.1108     1.21117   0.0104091
         582     1.11445       1.211   0.0103925
         583     1.11808     1.21084   0.0103759
         584     1.12167     1.21069   0.0103592
         585     1.12524     1.21054   0.0103426
         586     1.12878      1.2104   0.0103259
         587     1.13229     1.21027   0.0103091
         588     1.13577     1.21014   0.0102924
