BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         691     1.79545     1.82074    0.013191
         692     1.79804     1.82071    0.013172
         693     1.80084     1.82068    0.013153
         694     1.80382     1.82066   0.0131341
         695     1.80698     1.82064   0.0131152
         696     1.81028     1.82062   0.0130963
         697      1.8137     1.82061   0.0130776
         698     1.81721     1.82061   0.0130588
         699     1.82079     1.82061   0.0130401
         700      1.8244     1.82061   0.0130215
         701     1.82802     1.82062   0.0130029
         702     1.83162     1.82064   0.0129844
         703     1.83515     1.82066    0.012966
         704     1.83859     1.82069   0.0129476
         705     1.84192     1.82072   0.0129293
         706     1.84509     1.82075    0.012911
         707     1.84808     1.82079   0.0128928
         708     1.85087     1.82083   0.0128746
         709     1.85342     1.82088   0.0128566
         710     1.85572     1.82093   0.0128386
         711     1.85775     1.82098   0.0128206
         712     1.85948     1.82103   0.0128027
         713     1.86091     1.82109   0.0127849
         714     1.86201     1.82115   0.0127671
         715     1.86278      1.8212   0.0127494
         716     1.86321     1.82126   0.0127317
         717     1.86331     1.82132   0.0127141
         718     1.86305     1.82138   0.0126965
         719     1.86246     1.82144    0.012679
         720     1.86153     1.82149   0.0126615
         721     1.86027     1.82155    0.012644
         722      1.8587      1.8216   0.0126266
         723     1.85683     1.82165   0.0126093
         724     1.85467     1.82169   0.0125919
         725     1.85225     1.82173   0.0125746
         726     1.84958     1.82177   0.0125574
         727     1.84669     1.82181   0.0125401
         728     1.84359     1.82184    0.012523
         729     1.84033     1.82186   0.0125058
         730     1.83691     1.82188   0.0124887
         731     1.83337      1.8219   0.0124716
         732     1.82974     1.82191   0.0124546
         733     1.82603     1.82192   0.0124376
