VELOCITY:     AVE_POFV:        ERROR:
         5.2       0.897    0.264368   0.0686048
     5.46667       0.103    0.242474    0.058622
     5.73333       0.911    0.240842   0.0700348
           6       0.089   0.0650526   0.0410605
     6.26667           0   0.0231053   0.0220072
     6.53333           0   0.0884737   0.0546136
         6.8           0   0.0720526    0.048345
     7.06667           0  0.00305263  0.00297121
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.409      0.1549   0.0489512
         0.4       1.818      1.2289    0.164901
    0.666667       6.352      3.7274    0.418895
    0.933333       6.208     4.84465     0.43997
         1.2       7.418     8.24295    0.490842
     1.46667       7.374      9.0352    0.393788
     1.73333      11.201     9.89495    0.399564
           2      11.437     11.7723    0.623458
     2.26667       6.816     10.1314     0.38295
     2.53333       7.572     10.8635     0.54435
         2.8       8.152      9.1306    0.378818
     3.06667      10.108     8.35175    0.349426
     3.33333       8.152     6.34975    0.324088
         3.6       4.811      4.0136    0.258553
     3.86667       4.236      3.2965    0.292873
     4.13333       2.259     2.67565    0.208691
         4.4       1.266     1.50905    0.169889
     4.66667       0.837     1.25905    0.218062
     4.93333       0.201      0.4997    0.114498
         5.2       0.252     0.26375   0.0651773
     5.46667       0.121      0.2364   0.0560046
     5.73333           1      0.2788   0.0761276
           6           0      0.0618   0.0391361
     6.26667           0     0.02195   0.0209371
     6.53333           0     0.08405   0.0520618
         6.8           0     0.06845   0.0460618
     7.06667           0      0.0029  0.00282657
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.421    0.167571   0.0482324
         0.4       1.482     1.24095    0.157489
    0.666667       4.147     3.74738    0.399424
    0.933333       6.878     4.94148    0.429541
         1.2       7.649     8.21467    0.468283
     1.46667       7.873     8.97986    0.378905
     1.73333       13.19     10.0519     0.41019
           2      11.262      11.748    0.594243
     2.26667       6.268     9.94748    0.406511
     2.53333        7.71     10.7134    0.538744
         2.8      11.465     9.24176    0.376736
     3.06667       6.515     8.26429    0.343558
     3.33333       6.306     6.34767    0.308662
         3.6       6.022     4.10924    0.263336
     3.86667       4.883     3.37205    0.288506
     4.13333       2.644     2.67414    0.198759
         4.4       0.369     1.45476    0.170252
     4.66667       0.916     1.24271    0.208289
     4.93333       0.666    0.507619    0.109319
         5.2       0.172    0.259381   0.0622199
     5.46667       0.162    0.232857   0.0534497
     5.73333           1    0.313143   0.0798741
           6           0   0.0588571   0.0373829
     6.26667           0   0.0209048   0.0199662
     6.53333           0   0.0800476   0.0497362
         6.8           0   0.0651905   0.0439836
     7.06667           0   0.0027619  0.00269534
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0    0.159955   0.0466376
         0.4       0.627     1.21305    0.152783
    0.666667       5.972      3.8485     0.39386
    0.933333       5.345     4.95982    0.410408
         1.2       5.776     8.10382     0.45993
     1.46667       7.648     8.91932    0.366487
     1.73333      12.255      10.152    0.403584
           2      14.094     11.8546    0.576721
     2.26667       9.016     9.90514    0.390232
     2.53333      11.202     10.7356    0.514713
         2.8       8.172     9.19314    0.362736
     3.06667       7.284     8.21973    0.330819
     3.33333       5.907     6.32764    0.295281
         3.6       4.115      4.1095    0.251366
     3.86667       2.106      3.3145    0.281073
     4.13333       3.841     2.72718    0.196674
         4.4       1.064       1.437    0.163437
     4.66667       1.894     1.27232    0.200914
     4.93333       0.089    0.488591    0.105993
         5.2       0.411    0.266273   0.0597722
     5.46667       0.155    0.229318   0.0511372
     5.73333       0.926       0.341   0.0809557
           6       0.101   0.0607727   0.0357328
     6.26667           0   0.0199545   0.0190812
     6.53333           0   0.0764091   0.0476084
         6.8           0   0.0622273    0.042084
     7.06667           0  0.00263636  0.00257575
