BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         383     2.03391      2.0088 0.000473535
         384     2.03422     2.00886 0.000476908
         385     2.03453     2.00893 0.000480307
         386     2.03485       2.009 0.000483732
         387     2.03516     2.00906 0.000487185
         388     2.03548     2.00913 0.000490664
         389     2.03581      2.0092  0.00049417
         390     2.03613     2.00927 0.000497703
         391     2.03646     2.00934 0.000501265
         392     2.03679     2.00941 0.000504854
         393     2.03713     2.00948 0.000508472
         394     2.03746     2.00955 0.000512118
         395     2.03781     2.00962 0.000515792
         396     2.03815      2.0097 0.000519496
         397      2.0385     2.00977 0.000523229
         398     2.03885     2.00984 0.000526992
         399      2.0392     2.00991 0.000530784
         400     2.03956     2.00999 0.000534606
         401     2.03992     2.01006 0.000538459
         402     2.04028     2.01014 0.000542342
         403     2.04065     2.01021 0.000546256
         404     2.04102     2.01029 0.000550201
         405     2.04139     2.01037 0.000554177
         406     2.04177     2.01044 0.000558184
         407     2.04215     2.01052 0.000562223
         408     2.04253      2.0106 0.000566293
         409     2.04292     2.01068 0.000570395
         410     2.04331     2.01076 0.000574529
         411      2.0437     2.01084 0.000578696
         412      2.0441     2.01092 0.000582894
         413      2.0445       2.011 0.000587125
         414      2.0449     2.01108 0.000591388
         415      2.0453     2.01117 0.000595684
         416     2.04571     2.01125 0.000600012
         417     2.04612     2.01133 0.000604372
         418     2.04653     2.01142 0.000608765
         419     2.04695      2.0115  0.00061319
         420     2.04737     2.01159 0.000617647
         421     2.04779     2.01167 0.000622136
         422     2.04821     2.01176 0.000626657
         423     2.04863     2.01185  0.00063121
         424     2.04906     2.01193 0.000635794
         425     2.04949     2.01202 0.000640409
         426     2.04992     2.01211 0.000645055
         427     2.05035      2.0122 0.000649732
         428     2.05079     2.01229 0.000654438
         429     2.05122     2.01238 0.000659173
         430     2.05165     2.01247 0.000663937
         431     2.05209     2.01257 0.000668729
         432     2.05253     2.01266 0.000673548
         433     2.05296     2.01275 0.000678393
         434      2.0534     2.01284 0.000683263
         435     2.05383     2.01294 0.000688158
         436     2.05426     2.01303 0.000693077
         437      2.0547     2.01313 0.000698017
         438     2.05512     2.01322 0.000702977
         439     2.05555     2.01332 0.000707957
         440     2.05598     2.01342 0.000712954
         441      2.0564     2.01352 0.000717967
         442     2.05681     2.01361 0.000722993
         443     2.05722     2.01371 0.000728032
         444     2.05763     2.01381  0.00073308
         445     2.05802     2.01391 0.000738135
         446     2.05842     2.01401 0.000743194
         447      2.0588     2.01411 0.000748255
         448     2.05917     2.01421 0.000753315
         449     2.05954     2.01431 0.000758371
         450     2.05989     2.01441 0.000763419
         451     2.06023     2.01451 0.000768456
         452     2.06056     2.01462 0.000773477
         453     2.06087     2.01472  0.00077848
         454     2.06116     2.01482 0.000783458
         455     2.06144     2.01492 0.000788409
         456      2.0617     2.01503 0.000793326
         457     2.06194     2.01513 0.000798206
         458     2.06216     2.01523 0.000803042
         459     2.06236     2.01533 0.000807828
         460     2.06253     2.01544  0.00081256
         461     2.06267     2.01554 0.000817231
         462     2.06278     2.01564 0.000821835
         463     2.06286     2.01574 0.000826364
         464     2.06291     2.01585 0.000830813
         465     2.06293     2.01595 0.000835173
         466     2.06291     2.01605 0.000839439
         467     2.06285     2.01615 0.000843603
         468     2.06275     2.01625 0.000847657
         469     2.06261     2.01635 0.000851594
         470     2.06243     2.01644 0.000855408
         471      2.0622     2.01654 0.000859089
         472     2.06192     2.01664 0.000862632
         473      2.0616     2.01673 0.000866029
         474     2.06123     2.01683 0.000869274
         475      2.0608     2.01692 0.000872361
         476     2.06033     2.01701 0.000875284
         477     2.05982      2.0171 0.000878037
         478     2.05925     2.01719 0.000880617
         479     2.05863     2.01727 0.000883019
         480     2.05797     2.01736 0.000885241
         481     2.05727     2.01744 0.000887281
         482     2.05653     2.01752 0.000889137
         483     2.05575      2.0176 0.000890811
         484     2.05494     2.01768 0.000892304
         485      2.0541     2.01775 0.000893618
         486     2.05324     2.01783 0.000894757
         487     2.05237      2.0179 0.000895726
         488     2.05149     2.01797 0.000896531
         489     2.05061     2.01803  0.00089718
         490     2.04975      2.0181  0.00089768
         491      2.0489     2.01816 0.000898041
         492     2.04808     2.01822 0.000898272
         493     2.04731     2.01828 0.000898385
         494     2.04658     2.01834 0.000898391
         495     2.04591     2.01839   0.0008983
         496      2.0453     2.01845 0.000898126
         497     2.04478      2.0185  0.00089788
         498     2.04433     2.01855 0.000897574
         499     2.04398      2.0186  0.00089722
         500     2.04372     2.01865  0.00089683
         501     2.04356      2.0187 0.000896417
         502     2.04351     2.01875 0.000895992
         503     2.04355      2.0188 0.000895566
         504     2.04371     2.01885 0.000895151
         505     2.04396      2.0189 0.000894758
         506     2.04432     2.01895 0.000894398
         507     2.04477       2.019 0.000894082
         508      2.0453     2.01905  0.00089382
         509     2.04593     2.01911 0.000893622
         510     2.04662     2.01916 0.000893497
         511     2.04739     2.01922 0.000893454
         512     2.04822     2.01927 0.000893503
         513     2.04909     2.01933  0.00089365
         514     2.05001     2.01939 0.000893903
         515     2.05097     2.01945 0.000894268
         516     2.05195     2.01952 0.000894749
