n_block      H_average        errore
581 -0.44525 0.00302169
582 -0.445126 0.00301903
583 -0.445309 0.0030194
584 -0.445256 0.00301468
585 -0.445276 0.00300959
586 -0.445203 0.00300531
587 -0.445316 0.00300232
588 -0.445314 0.00299721
589 -0.445178 0.00299519
590 -0.445187 0.00299013
591 -0.445058 0.00298785
592 -0.444932 0.00298547
593 -0.444977 0.00298078
594 -0.445152 0.0029809
595 -0.445168 0.00297593
596 -0.445302 0.00297392
597 -0.445335 0.00296912
598 -0.445401 0.00296488
599 -0.445383 0.00295998
600 -0.445245 0.00295827
601 -0.445316 0.0029542
602 -0.445218 0.00295092
603 -0.445316 0.00294766
604 -0.445316 0.00294278
605 -0.4454 0.00293911
606 -0.445498 0.00293588
607 -0.445519 0.00293111
608 -0.4456 0.00292741
609 -0.445635 0.0029228
610 -0.445773 0.0029213
611 -0.445808 0.00291672
612 -0.445866 0.00291253
613 -0.445886 0.00290784
614 -0.445841 0.00290346
615 -0.446011 0.00290374
616 -0.446146 0.00290217
617 -0.4463 0.00290152
618 -0.44621 0.00289822
619 -0.446224 0.00289358
620 -0.446224 0.0028889
621 -0.446254 0.0028844
622 -0.446218 0.00287999
623 -0.44615 0.00287617
624 -0.446176 0.00287167
625 -0.446126 0.00286751
626 -0.446269 0.00286649
627 -0.446114 0.0028661
628 -0.446152 0.00286178
629 -0.446126 0.00285734
630 -0.446108 0.00285286
631 -0.445946 0.00285291
632 -0.446103 0.00285268
633 -0.446234 0.00285123
634 -0.446224 0.00284674
635 -0.446195 0.0028424
636 -0.445903 0.00285289
637 -0.445744 0.00285285
638 -0.445562 0.00285418
639 -0.445443 0.00285222
640 -0.445435 0.00284777
641 -0.445653 0.00285168
642 -0.445814 0.00285177
643 -0.445745 0.00284817
644 -0.445753 0.00284376
645 -0.445835 0.00284052
646 -0.445905 0.00283699
647 -0.445901 0.0028326
648 -0.445983 0.00282941
649 -0.446006 0.00282514
650 -0.445941 0.00282154
651 -0.445912 0.00281734
652 -0.445957 0.00281338
653 -0.445998 0.00280936
654 -0.446134 0.00280836
655 -0.446152 0.00280413
656 -0.446255 0.00280174
657 -0.446374 0.00279998
658 -0.446419 0.00279608
659 -0.446624 0.00279935
660 -0.446529 0.00279671
661 -0.446579 0.00279292
662 -0.446558 0.00278878
663 -0.446618 0.00278521
664 -0.446567 0.00278148
665 -0.446639 0.00277822
666 -0.446845 0.00278169
667 -0.446913 0.00277835
668 -0.446926 0.00277422
669 -0.447061 0.00277339
670 -0.447045 0.00276929
671 -0.447026 0.00276523
672 -0.447183 0.00276561
673 -0.447214 0.00276167
674 -0.447271 0.00275816
675 -0.447184 0.00275546
676 -0.447147 0.00275163
677 -0.447039 0.00274967
678 -0.446936 0.00274756
679 -0.447131 0.00275046
680 -0.446869 0.00275891
681 -0.446852 0.00275491
682 -0.44683 0.00275096
683 -0.446781 0.00274737
684 -0.446781 0.00274335
685 -0.446828 0.00273974
686 -0.446895 0.00273658
687 -0.446894 0.00273259
688 -0.44683 0.00272937
689 -0.446912 0.00272664
690 -0.446752 0.00272739
691 -0.44677 0.00272351
692 -0.446653 0.00272208
693 -0.446478 0.0027238
694 -0.446468 0.00271989
695 -0.446554 0.00271736
696 -0.44655 0.00271346
697 -0.446442 0.00271171
698 -0.446415 0.00270796
699 -0.446197 0.0027128
700 -0.446218 0.002709
701 -0.446181 0.00270539
702 -0.446263 0.00270276
703 -0.446273 0.00269894
704 -0.446343 0.00269602
705 -0.446299 0.00269255
706 -0.446161 0.00269227
707 -0.446148 0.00268849
708 -0.446107 0.002685
709 -0.446281 0.00268688
710 -0.446288 0.0026831
711 -0.446423 0.00268272
712 -0.446414 0.00267897
713 -0.446409 0.00267521
714 -0.446556 0.00267549
715 -0.44673 0.00267739
716 -0.446763 0.00267385
717 -0.446763 0.00267012
718 -0.446797 0.00266661
719 -0.446851 0.00266345
720 -0.446879 0.00265989
721 -0.446627 0.00266807
722 -0.44673 0.00266635
723 -0.446735 0.00266266
724 -0.446641 0.00266067
725 -0.446028 0.00272668
726 -0.446085 0.00272351
727 -0.44581 0.00273364
728 -0.445809 0.00272989
