n_block              T     sigma             mu            <H>         H_err
452 0.000976772 0.589985 0.806549 -0.440247 0.00601088
453 0.000972469 0.589985 0.806549 -0.440247 0.00263796
454 0.000968195 0.589985 0.806549 -0.440247 0.00368305
455 0.000963948 0.589985 0.806549 -0.440247 0.00473076
456 0.00095973 0.589985 0.806549 -0.440247 0.00211077
457 0.000955539 0.589985 0.806549 -0.440247 0.00240864
458 0.000951375 0.589985 0.806549 -0.440247 0.00470884
459 0.000947239 0.589985 0.806549 -0.440247 0.00146931
460 0.000943129 0.589985 0.806549 -0.440247 0.00185046
461 0.000939046 0.589985 0.806549 -0.440247 0.00836287
462 0.00093499 0.589985 0.806549 -0.440247 0.00501548
463 0.00093096 0.589985 0.806549 -0.440247 0.00489842
464 0.000926956 0.589985 0.806549 -0.440247 0.00126521
465 0.000922978 0.589985 0.806549 -0.440247 0.00164151
466 0.000919025 0.589985 0.806549 -0.440247 0.00249159
