n_block              T     sigma             mu            <H>         H_err
350 0.00285714 0.623099 0.821534 -0.444201 0.00131619
351 0.002849 0.623099 0.821534 -0.444201 0.00119053
352 0.00284091 0.624586 0.82149 -0.440862 0.00140738
353 0.00283286 0.625935 0.823027 -0.442564 0.00128326
354 0.00282486 0.62745 0.824745 -0.441503 0.00135839
355 0.0028169 0.629656 0.825161 -0.438933 0.0014414
356 0.00280899 0.629465 0.826889 -0.44035 0.00135753
357 0.00280112 0.627891 0.828229 -0.439784 0.00125107
358 0.0027933 0.62889 0.826179 -0.441216 0.00150249
359 0.00278552 0.629622 0.825975 -0.44111 0.00138142
360 0.00277778 0.630644 0.829438 -0.438833 0.00151432
361 0.00277008 0.62976 0.827044 -0.44242 0.00130749
362 0.00276243 0.62976 0.827044 -0.44242 0.00143719
363 0.00275482 0.62976 0.827044 -0.44242 0.00144925
364 0.00274725 0.62976 0.827044 -0.44242 0.00135448
365 0.00273973 0.62976 0.827044 -0.44242 0.0014132
366 0.00273224 0.630627 0.828743 -0.440136 0.00138482
367 0.0027248 0.631207 0.829112 -0.439022 0.00142092
368 0.00271739 0.629138 0.827137 -0.443177 0.00141369
369 0.00271003 0.629138 0.827137 -0.443177 0.0012449
370 0.0027027 0.62838 0.826276 -0.44121 0.00135878
371 0.00269542 0.628578 0.825525 -0.44135 0.00161482
372 0.00268817 0.628578 0.825525 -0.44135 0.00145314
373 0.00268097 0.629671 0.825331 -0.441798 0.00129423
374 0.0026738 0.627574 0.82528 -0.44085 0.00137338
375 0.00266667 0.62869 0.824801 -0.442004 0.00149851
376 0.00265957 0.627107 0.825911 -0.440219 0.00131607
377 0.00265252 0.626104 0.82473 -0.441534 0.0012453
378 0.0026455 0.62376 0.82518 -0.442045 0.00118263
379 0.00263852 0.623179 0.824119 -0.442321 0.00132027
380 0.00263158 0.621036 0.825306 -0.441678 0.00130746
381 0.00262467 0.621107 0.825637 -0.443032 0.00137212
382 0.0026178 0.621107 0.825637 -0.443032 0.00144025
383 0.00261097 0.621536 0.830294 -0.442927 0.00132649
384 0.00260417 0.621536 0.830294 -0.442927 0.00156202
385 0.0025974 0.623323 0.829609 -0.443348 0.00143679
386 0.00259067 0.623323 0.829609 -0.443348 0.00138517
387 0.00258398 0.623323 0.829609 -0.443348 0.0014831
388 0.00257732 0.623323 0.829609 -0.443348 0.00132359
389 0.00257069 0.623323 0.829609 -0.443348 0.00123541
390 0.0025641 0.623323 0.829609 -0.443348 0.00130368
391 0.00255754 0.623323 0.829609 -0.443348 0.0012613
392 0.00255102 0.623323 0.829609 -0.443348 0.00124023
393 0.00254453 0.623323 0.829609 -0.443348 0.00120059
394 0.00253807 0.623631 0.830015 -0.443506 0.00142228
395 0.00253165 0.623631 0.830015 -0.443506 0.00130402
396 0.00252525 0.622302 0.830573 -0.43832 0.00135755
397 0.00251889 0.624076 0.832332 -0.438598 0.00131389
398 0.00251256 0.625492 0.831885 -0.442588 0.00132871
399 0.00250627 0.625492 0.831885 -0.442588 0.00135098
400 0.0025 0.625492 0.831885 -0.442588 0.00143303
401 0.00249377 0.625492 0.831885 -0.442588 0.00162081
402 0.00248756 0.625492 0.831885 -0.442588 0.00130781
403 0.00248139 0.626254 0.830944 -0.441139 0.00130839
404 0.00247525 0.624414 0.831073 -0.440574 0.00132217
405 0.00246914 0.623516 0.829508 -0.439154 0.00127257
406 0.00246305 0.622243 0.830884 -0.440756 0.00135718
407 0.002457 0.622429 0.829867 -0.440069 0.00135102
408 0.00245098 0.622334 0.830203 -0.440775 0.00135273
409 0.00244499 0.6241 0.831525 -0.441256 0.00124255
410 0.00243902 0.623709 0.832857 -0.438246 0.00139797
411 0.00243309 0.623049 0.831867 -0.440264 0.00145429
412 0.00242718 0.620983 0.831417 -0.440427 0.00128264
413 0.00242131 0.622827 0.831409 -0.44066 0.00120809
414 0.00241546 0.62254 0.832479 -0.440219 0.00140362
415 0.00240964 0.62254 0.832479 -0.440219 0.00140285
416 0.00240385 0.62254 0.832479 -0.440219 0.00133851
417 0.00239808 0.62283 0.831822 -0.442184 0.00124037
418 0.00239234 0.621966 0.831906 -0.438223 0.0014375
419 0.00238663 0.621933 0.831624 -0.441074 0.00135791
420 0.00238095 0.621933 0.831624 -0.441074 0.00143326
421 0.0023753 0.623164 0.829812 -0.441373 0.00127938
422 0.00236967 0.623349 0.830214 -0.439979 0.00146854
423 0.00236407 0.623401 0.829219 -0.441349 0.00121966
424 0.00235849 0.622315 0.830514 -0.439218 0.00131787
425 0.00235294 0.62035 0.829174 -0.439793 0.00133309
426 0.00234742 0.619774 0.829752 -0.442475 0.00138916
427 0.00234192 0.619774 0.829752 -0.442475 0.0013064
428 0.00233645 0.619774 0.829752 -0.442475 0.00121838
429 0.002331 0.620577 0.829886 -0.440912 0.0014575
430 0.00232558 0.62071 0.829676 -0.441886 0.00123412
431 0.00232019 0.62071 0.829676 -0.441886 0.00120772
432 0.00231481 0.619701 0.829808 -0.441491 0.00130497
433 0.00230947 0.619074 0.830284 -0.440534 0.00153651
434 0.00230415 0.618434 0.83163 -0.441517 0.001374
435 0.00229885 0.618148 0.830645 -0.440812 0.00145664
436 0.00229358 0.618148 0.830645 -0.440812 0.00145523
437 0.00228833 0.618433 0.829806 -0.439865 0.00135981
438 0.00228311 0.617818 0.830733 -0.441522 0.00118813
439 0.0022779 0.617818 0.830733 -0.441522 0.00110372
440 0.00227273 0.617953 0.829469 -0.440119 0.00135301
441 0.00226757 0.618085 0.829902 -0.442032 0.00126198
442 0.00226244 0.617236 0.829365 -0.441492 0.00126664
443 0.00225734 0.617143 0.828901 -0.439801 0.00145833
444 0.00225225 0.614972 0.828069 -0.441337 0.00115658
445 0.00224719 0.614129 0.827351 -0.442051 0.0013041
446 0.00224215 0.614129 0.827351 -0.442051 0.00126168
447 0.00223714 0.611665 0.824047 -0.443422 0.00132475
448 0.00223214 0.611665 0.824047 -0.443422 0.0013093
449 0.00222717 0.611665 0.824047 -0.443422 0.00132444
450 0.00222222 0.611624 0.823092 -0.440348 0.00136543
451 0.00221729 0.611058 0.822868 -0.441531 0.00130881
452 0.00221239 0.610832 0.824436 -0.442899 0.00130556
453 0.00220751 0.610438 0.825164 -0.43944 0.00132043
454 0.00220264 0.613105 0.824485 -0.441115 0.00119168
455 0.0021978 0.613769 0.823845 -0.441487 0.00122638
456 0.00219298 0.614442 0.823687 -0.443801 0.0013078
